final_pnl,event_occurs,final_event_probability,realized_rainfall,total_trades,blocked_trades,max_inventory,average_edge,simulation_id
0.5,True,0.9761,0.72,4,6,4,0.1369,0
2.12,True,0.9492,0.72,4,4,5,0.1728,1
1.2,True,0.926,0.72,1,9,3,0.3767,2
-0.25,True,0.1019,0.72,3,5,3,0.1744,3
0.49,True,0.3507,0.72,3,7,5,0.2323,4
1.09,True,0.4466,0.72,4,6,5,0.2162,5
2.02,True,0.8516,0.72,2,8,5,0.2237,6
1.54,True,0.8516,0.72,4,5,5,0.1524,7
1.2,True,0.9654,0.72,1,9,3,0.3296,8
-2.34,False,0.8516,0.2,2,8,4,0.3137,9
1.91,True,0.7934,0.72,5,2,5,0.1417,10
1.22,True,0.9889,0.72,3,7,3,0.3376,11
2.19,True,0.7245,0.72,2,7,5,0.1937,12
1.52,True,0.9891,0.72,2,8,5,0.247,13
1.2,True,0.9492,0.72,1,9,3,0.3289,14
1.26,True,0.8516,0.72,4,5,5,0.209,15
1.37,True,0.9647,0.72,1,9,3,0.3295,16
2.17,True,0.9984,0.72,2,8,5,0.2755,17
1.2,True,0.9654,0.72,1,9,3,0.2178,18
1.2,True,0.9492,0.72,1,9,3,0.3609,19
-2.28,False,0.5466,0.2,3,5,4,0.1552,20
1.2,True,0.9889,0.72,1,9,3,0.3875,21
1.2,True,0.9889,0.72,1,9,3,0.3821,22
0.06,False,0.1984,0.2,2,7,3,0.2355,23
1.96,True,0.8516,0.72,2,8,5,0.2806,24
-1.7,False,0.7245,0.2,4,5,3,0.1101,25
-1.8,False,0.6378,0.2,1,9,3,0.3163,26
1.67,True,0.8516,0.72,6,3,5,0.1007,27
1.8,True,0.9761,0.72,2,8,5,0.2318,28
1.2,True,0.995,0.72,1,9,3,0.2566,29
1.98,True,0.8955,0.72,2,6,5,0.1705,30
2.13,True,0.8516,0.72,2,5,5,0.1555,31
1.37,True,0.9276,0.72,2,8,4,0.19,32
-0.23,True,0.3507,0.72,6,3,5,0.1416,33
1.2,True,0.9995,0.72,1,9,3,0.3972,34
1.2,True,0.926,0.72,1,9,3,0.34,35
1.2,True,0.9889,0.72,1,9,3,0.3108,36
1.97,True,0.9276,0.72,3,5,5,0.1094,37
0.2,True,0.5466,0.72,3,6,3,0.2472,38
1.36,True,0.9984,0.72,2,8,4,0.2375,39
1.2,True,0.9998,0.72,1,9,3,0.3907,40
1.2,True,0.9839,0.72,1,9,3,0.3692,41
1.8,True,0.9654,0.72,2,8,5,0.2047,42
2.13,True,0.9925,0.72,3,6,5,0.2635,43
1.75,True,0.5466,0.72,4,4,5,0.1381,44
2.0,True,0.9492,0.72,2,8,5,0.3421,45
-0.62,False,0.5466,0.2,1,9,1,0.232,46
-3.03,False,0.9647,0.2,6,4,5,0.1905,47
1.2,True,0.9977,0.72,1,9,3,0.4035,48
2.0,True,0.8955,0.72,5,5,5,0.1897,49
1.2,True,0.9839,0.72,1,9,3,0.4024,50
2.21,True,0.8955,0.72,4,3,5,0.1512,51
-1.16,False,0.6378,0.2,2,7,3,0.2134,52
1.65,True,0.8516,0.72,7,1,5,0.1293,53
2.58,True,0.8955,0.72,2,7,5,0.2438,54
1.2,True,0.7934,0.72,1,9,3,0.4232,55
1.72,True,0.9647,0.72,4,6,4,0.2332,56
1.2,True,0.9492,0.72,1,9,3,0.3462,57
1.2,True,0.9989,0.72,1,9,3,0.5226,58
1.2,True,0.9761,0.72,1,9,3,0.4323,59
0.71,True,0.6378,0.72,7,2,5,0.1123,60
-0.1,False,0.27,0.2,4,3,4,0.1241,61
1.57,True,0.8516,0.72,4,5,5,0.1202,62
-2.36,False,0.7971,0.2,2,6,4,0.1863,63
2.04,True,0.926,0.72,5,4,4,0.2151,64
1.2,True,0.9891,0.72,1,9,3,0.3826,65
1.2,True,0.9761,0.72,1,9,3,0.3316,66
0.14,True,0.1449,0.72,3,7,3,0.2879,67
1.2,True,0.9276,0.72,1,9,3,0.3299,68
1.88,True,0.9647,0.72,2,6,5,0.1619,69
1.2,True,0.9839,0.72,1,9,3,0.384,70
1.2,True,0.9492,0.72,1,9,3,0.3627,71
1.97,True,0.9949,0.72,2,7,5,0.2868,72
0.1,False,0.4466,0.2,5,5,5,0.2094,73
0.38,True,0.7245,0.72,1,4,1,0.099,74
0.89,True,0.27,0.72,2,7,3,0.1987,75
0.0,True,0.0336,0.72,0,10,0,0.4117,76
1.87,True,0.8516,0.72,2,8,4,0.2231,77
1.79,True,0.7971,0.72,3,3,5,0.0806,78
2.26,True,0.9276,0.72,2,8,5,0.3103,79
1.58,True,0.8516,0.72,5,3,5,0.1475,80
1.56,True,0.7245,0.72,3,4,3,0.1361,81
1.2,True,0.9839,0.72,1,9,3,0.2798,82
1.2,True,0.9761,0.72,1,9,3,0.2747,83
2.14,True,0.9492,0.72,2,8,5,0.2979,84
1.99,True,0.8516,0.72,2,8,5,0.2631,85
1.85,True,0.9761,0.72,2,6,4,0.2334,86
0.19,True,0.6378,0.72,6,4,4,0.1458,87
-2.93,False,0.9492,0.2,2,8,4,0.1305,88
0.0,False,0.0706,0.2,0,8,0,0.2206,89
0.69,True,0.1449,0.72,3,7,4,0.236,90
2.31,True,0.9647,0.72,2,7,5,0.2294,91
2.18,True,0.9492,0.72,5,5,5,0.2725,92
0.2,True,0.8516,0.72,1,9,1,0.2903,93
1.82,True,0.8955,0.72,2,8,5,0.2607,94
0.12,True,0.6378,0.72,5,1,3,0.1015,95
0.56,True,0.27,0.72,3,5,5,0.1684,96
1.2,True,0.8516,0.72,1,9,3,0.389,97
-1.18,False,0.0336,0.2,2,8,3,0.4021,98
-1.21,False,0.27,0.2,2,8,3,0.3363,99
